Article,Fig,X_axis_label,Rate,Pyruvate,NADH,Lactate,NAD,Raw_X_axis,Raw_Y_axis,Raw_Vmax
Zewe_JBC_1962,Fig1,Lactate,-0.530912045,0,0,0.014239866,5.90E-04,0.702253804,1.167801721,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.479068904,0,0,0.009541347,5.90E-04,1.048070049,1.29417709,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.418576385,0,0,0.00715007,5.90E-04,1.398587766,1.481211131,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.287859795,0,0,0.004868552,5.90E-04,2.05399885,2.153826307,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.195375539,0,0,0.002410957,5.90E-04,4.147730877,3.173375761,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.634917268,0,0,0.014339967,8.40E-04,0.697351659,0.976505179,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.543753866,0,0,0.009460289,8.40E-04,1.057050148,1.140221779,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.482396815,0,0,0.007175256,8.40E-04,1.393678454,1.285248951,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.36847687,0,0,0.004859362,8.40E-04,2.057883298,1.682602222,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.22105039,0,0,0.002411286,8.40E-04,4.147164693,2.804790342,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.680435709,0,0,0.014437451,1.17E-03,0.69264302,0.911180869,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.602971432,0,0,0.009503266,1.17E-03,1.05226984,1.028241087,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.520159729,0,0,0.007152342,1.17E-03,1.39814342,1.191941561,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.409335491,0,0,0.004838299,1.17E-03,2.066841897,1.514649997,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.259970249,0,0,0.002408984,1.17E-03,4.151127977,2.384888277,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.758073425,0,0,0.014537179,2.03E-03,0.687891379,0.817862729,0.62
Zewe_JBC_1962,Fig1,Lactate,-0.656606573,0,0,0.009588424,2.03E-03,1.04292423,0.944248848,0.62
