n_params,loss,mechanism_type,rate_equation,eq_hash,fit_inherited_from_estimate,K1,K2,K3,K4,K5,K6,K7,K8,K9,k10f,k11f,k3f,k4f,k6f,k7f,k8f,k9f
6,30.844398199156068,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_Lactate, :NADH), (:E_Lactate_NADH,), true, 2), ((:E_NADH,), (:Estar_NAD,), false, 3), ((:E_NADH, :Lactate), (:E_Lactate_NADH,), true, 1), ((:Estar, :NAD), (:Estar_NAD,), true, 4), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 5), ((:Estar_NAD, :Pyruvate), (:Estar_NAD_Pyruvate,), true, 5), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6), ((:Estar_Pyruvate, :NAD), (:Estar_NAD_Pyruvate,), true, 4))}","(; K1, K2, k4f, K6, K7, K9, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k4r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k4f * (1 / (1 / K6)) * (1 / K7) * K9
v = E_total * (k4f * NADH / K2 - K7 * k4r * Lactate * NAD / (K1 * K6 * K9 * Pyruvate)) / (1 + NADH / K2 + (Lactate / K1) * (K7 / (K9 * Pyruvate) + 1 + K7 * NAD / (K6 * K9 * Pyruvate) + 1 / K9 + NADH / K2 + NAD / (K6 * K9)))",ca8a2950a2aa1902,,1.559027677392357e6,1.974353945625317e-5,,,,0.008350109132010147,1.5589746055372441e6,,156.4832348447128,,,,0.9999999999999999,,,,
6,30.844398199146937,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_NADH,), (:Estar_NAD,), false, 3), ((:Estar, :NAD), (:Estar_NAD,), true, 4), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 5), ((:Estar_NAD, :Pyruvate), (:Estar_NAD_Pyruvate,), true, 5), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6), ((:Estar_Pyruvate, :NAD), (:Estar_NAD_Pyruvate,), true, 4))}","(; K1, K2, k3f, K4, K5, K7, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k3r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k3f * (1 / (1 / K4)) * (1 / K5) * K7
v = E_total * (k3f * NADH / K2 - K5 * k3r * Lactate * NAD / (K1 * K4 * K7 * Pyruvate)) / (1 + NADH / K2 + (Lactate / K1) * (K5 / (K7 * Pyruvate) + 1 + K5 * NAD / (K4 * K7 * Pyruvate) + 1 / K7 + NAD / (K4 * K7)))",43857635693b0db7,,2.883799391873333e6,1.9743549046791325e-5,,0.008349975812699055,1.5426994196354067e6,,83.71447890150212,,,,,1.0,,,,,
6,30.84439819915605,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_Lactate, :NADH), (:E_Lactate_NADH,), true, 2), ((:E_NADH,), (:Estar_NAD,), false, 3), ((:E_NADH, :Lactate), (:E_Lactate_NADH,), true, 1), ((:Estar, :NAD), (:Estar_NAD,), true, 4), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 5), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6))}","(; K1, K2, k4f, K6, K7, K8, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k4r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k4f * (1 / (1 / K6)) * (1 / K7) * K8
v = E_total * (k4f * NADH / K2 - K7 * k4r * Lactate * NAD / (K1 * K6 * K8 * Pyruvate)) / (1 + NADH / K2 + (Lactate / K1) * (K7 / (K8 * Pyruvate) + 1 + K7 * NAD / (K6 * K8 * Pyruvate) + 1 / K8 + NADH / K2))",b029b6407ec77f28,,1.5512362274289515e6,1.9743544367440113e-5,,,,0.008349828005752683,3.1644520571802454e6,319.23057458547066,,,,,0.9999999999999999,,,,
5,0.019380254556525926,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_Lactate, :NADH), (:E_Lactate_NADH,), true, 3), ((:E_NAD, :Pyruvate), (:E_NAD_Pyruvate,), true, 4), ((:E_NADH, :Lactate), (:E_Lactate_NADH,), true, 1), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5), ((:E_Pyruvate, :NAD), (:E_NAD_Pyruvate,), true, 2))}","(; K1, K2, K3, K4, k10f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k10r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k10f
v = E_total * (k10f * NADH * Pyruvate / (K3 * K4) - k10r * Lactate * NAD / (K1 * K2)) / ((1 + Lactate / K1 + Pyruvate / K4) * (1 + NAD / K2 + NADH / K3))",c5efebddda75756c,,0.014481342725365916,0.0007876262776121236,1.252760637169262e-5,5.609672409430565e-5,,,,,,1.0,,,,,,,
5,0.028954126508277077,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_NAD, :Pyruvate), (:E_NAD_Pyruvate,), true, 4), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5), ((:E_Pyruvate, :NAD), (:E_NAD_Pyruvate,), true, 2))}","(; K1, K2, K3, K4, k8f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k8r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k8f
v = E_total * (k8f * NADH * Pyruvate / (K3 * K4) - k8r * Lactate * NAD / (K1 * K2)) / (NADH / K3 + NADH * Pyruvate / (K3 * K4) + (1 + Lactate / K1 + Pyruvate / K4) * (1 + NAD / K2))",b7ac665e9fb64553,,0.011444435612683367,0.0009308622997058985,1.4723475686304243e-5,6.579849323763023e-5,,,,,,,,,,,,1.0,
5,0.030807544385993754,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_Lactate, :Pyruvate), (:E_Lactate_Pyruvate,), true, 4), ((:E_NAD, :NADH), (:E_NAD_NADH,), true, 3), ((:E_NADH, :NAD), (:E_NAD_NADH,), true, 2), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5), ((:E_Pyruvate, :Lactate), (:E_Lactate_Pyruvate,), true, 1))}","(; K1, K2, K3, K4, k10f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k10r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k10f
v = E_total * (k10f * NADH * Pyruvate / (K3 * K4) - k10r * Lactate * NAD / (K1 * K2)) / ((1 + Lactate / K1 + NADH / K3) * (1 + NAD / K2 + Pyruvate / K4))",b094fb1be1aa1ff9,,0.02072989233978023,0.0008038079001454018,1.377053584546751e-5,5.812648231416098e-5,,,,,,1.0,,,,,,,
5,0.036360768846717094,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_Lactate, :Pyruvate), (:E_Lactate_Pyruvate,), true, 4), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5), ((:E_Pyruvate, :Lactate), (:E_Lactate_Pyruvate,), true, 1))}","(; K1, K2, K3, K4, k8f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k8r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k8f
v = E_total * (k8f * NADH * Pyruvate / (K3 * K4) - k8r * Lactate * NAD / (K1 * K2)) / (NADH / K3 + NADH * Pyruvate / (K3 * K4) + (1 + NAD / K2 + Pyruvate / K4) * (1 + Lactate / K1))",1d4ba4b3616f7f55,,0.021249830498844175,0.0010642299344836852,1.2420862750256732e-5,6.495557345525591e-5,,,,,,,,,,,,1.0,
5,0.030048280850431573,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_NAD, :NADH), (:E_NAD_NADH,), true, 3), ((:E_NADH, :NAD), (:E_NAD_NADH,), true, 2), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5))}","(; K1, K2, K3, K4, k9f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k9r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k9f
v = E_total * (k9f * NADH * Pyruvate / (K3 * K4) - k9r * Lactate * NAD / (K1 * K2)) / (Pyruvate / K4 + NADH * Pyruvate / (K3 * K4) + (1 + Lactate / K1 + NADH / K3) * (1 + NAD / K2))",517161ca019af21e,,0.01097634164058924,0.0008892646443673183,1.57480365865015e-5,5.886129549582428e-5,,,,,,,,,,,,,1.0
5,0.026989092346187824,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_Lactate, :NADH), (:E_Lactate_NADH,), true, 3), ((:E_NADH, :Lactate), (:E_Lactate_NADH,), true, 1), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5))}","(; K1, K2, K3, K4, k9f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k9r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k9f
v = E_total * (k9f * NADH * Pyruvate / (K3 * K4) - k9r * Lactate * NAD / (K1 * K2)) / (Pyruvate / K4 + NADH * Pyruvate / (K3 * K4) + (1 + NAD / K2 + NADH / K3) * (1 + Lactate / K1))",66e3ea4df80a95b9,,0.01470875068118499,0.0010610470787586143,1.389324593661669e-5,5.204489728016319e-5,,,,,,,,,,,,,1.0
5,0.03654974474327485,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5))}","(; K1, K2, K3, K4, k7f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k7r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * (1 / K4) * k7f
v = E_total * (k7f * NADH * Pyruvate / (K3 * K4) - k7r * Lactate * NAD / (K1 * K2)) / (NADH / K3 + Pyruvate / K4 + NADH * Pyruvate / (K3 * K4) + (1 + Lactate / K1) * (1 + NAD / K2))",5cba6497c0f4438f,,0.011910182916342396,0.0013028902969672927,1.5674939254539457e-5,6.401052745223332e-5,,,,,,,,,,,1.0,,
