n_params,loss,mechanism_type,rate_equation,eq_hash,fit_inherited_from_estimate,K1,K10,K11,K12,K2,K3,K4,K5,K6,K7,K8,K9,L,k10f,k11f,k1f,k1r,k2f,k2r,k3f,k3r,k4f,k4r,k9f
6,30.838941044733794,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_Lactate, :Pyruvate), (:E_Lactate_Pyruvate,), true, 3), ((:E_NADH,), (:Estar_NAD,), false, 4), ((:E_NADH, :NAD), (:E_NAD_NADH,), true, 5), ((:Estar, :NAD), (:Estar_NAD,), true, 5), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 3), ((:Estar_NAD, :NADH), (:Estar_NAD_NADH,), true, 2), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6), ((:Estar_Pyruvate, :Lactate), (:Estar_Lactate_Pyruvate,), true, 1))}","(; K1, K2, K3, k4f, K5, K9, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k4r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * (1 / K3) * k4f * (1 / (1 / K5)) * K9
v = E_total * (k4f * NADH / K2 - K3 * k4r * Lactate * NAD / (K1 * K5 * K9 * Pyruvate)) / (1 + NADH / K2 + NAD * NADH / (K2 * K5) + (Lactate / K1) * (K3 / (K9 * Pyruvate) + 1 + K3 * NAD / (K5 * K9 * Pyruvate) + 1 / K9 + Lactate / (K1 * K9) + K3 * NAD * NADH / (K2 * K5 * K9 * Pyruvate) + Pyruvate / K3))",21ba4fef79d0bc32,,1.5551626453320542e6,,,,1.9902127654916745e-5,2.675913750942864e6,,0.0019287123961808325,,,,299.64430839834597,,,,,,,,,,1.0,,
6,30.844398199143303,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_Lactate, :Pyruvate), (:E_Lactate_Pyruvate,), true, 3), ((:E_NADH,), (:Estar_NAD,), false, 4), ((:Estar, :NAD), (:Estar_NAD,), true, 5), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 3), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6), ((:Estar_Pyruvate, :Lactate), (:Estar_Lactate_Pyruvate,), true, 1))}","(; K1, K2, K3, k4f, K5, K7, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k4r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * (1 / K3) * k4f * (1 / (1 / K5)) * K7
v = E_total * (k4f * NADH / K2 - K3 * k4r * Lactate * NAD / (K1 * K5 * K7 * Pyruvate)) / (1 + NADH / K2 + (Lactate / K1) * (K3 / (K7 * Pyruvate) + 1 + K3 * NAD / (K5 * K7 * Pyruvate) + 1 / K7 + Lactate / (K1 * K7) + Pyruvate / K3))",063552bcd54e476d,,3.234330498201118e6,,,,1.974352488098809e-5,1.521245919587504e6,,0.008350041298304217,,73.60350919310696,,,,,,,,,,,,1.0000000000000002,,
6,30.838941044733524,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_NADH,), (:Estar_NAD,), false, 3), ((:E_NADH, :NAD), (:E_NAD_NADH,), true, 4), ((:Estar, :NAD), (:Estar_NAD,), true, 4), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 5), ((:Estar_NAD, :NADH), (:Estar_NAD_NADH,), true, 2), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6))}","(; K1, K2, k3f, K4, K6, K8, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k3r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k3f * (1 / (1 / K4)) * (1 / K6) * K8
v = E_total * (k3f * NADH / K2 - K6 * k3r * Lactate * NAD / (K1 * K4 * K8 * Pyruvate)) / (1 + NADH / K2 + NAD * NADH / (K2 * K4) + (Lactate / K1) * (K6 / (K8 * Pyruvate) + 1 + K6 * NAD / (K4 * K8 * Pyruvate) + 1 / K8 + K6 * NAD * NADH / (K2 * K4 * K8 * Pyruvate)))",8d3fd15fbbeed71e,,1.5800973651095054e6,,,,1.9902046581833426e-5,,0.0019287201849891404,,1.5798567134379682e6,,174.1188510944951,,,,,,,,,1.0,,,,
6,30.844398199160217,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NADH), (:E_NADH,), true, 2), ((:E_NADH,), (:Estar_NAD,), false, 3), ((:Estar, :NAD), (:Estar_NAD,), true, 4), ((:Estar, :Pyruvate), (:Estar_Pyruvate,), true, 5), ((:Estar_Pyruvate,), (:E_Lactate,), true, 6))}","(; K1, K2, k3f, K4, K5, K6, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k3r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k3f * (1 / (1 / K4)) * (1 / K5) * K6
v = E_total * (k3f * NADH / K2 - K5 * k3r * Lactate * NAD / (K1 * K4 * K6 * Pyruvate)) / (1 + NADH / K2 + (Lactate / K1) * (K5 / (K6 * Pyruvate) + 1 + K5 * NAD / (K4 * K6 * Pyruvate) + 1 / K6))",b4fba7a3e6cb443c,,2.0651855085992087e6,,,,1.9743521481389287e-5,,0.008350061498176407,1.5070983411075247e6,114.1998740098171,,,,,,,,,,,0.9999999999999999,,,,
6,29.37060674204455,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :NAD), (:E_NAD,), true, 1), ((:E, :Pyruvate), (:E_Pyruvate,), true, 2), ((:E_NAD, :NADH), (:E_NAD_NADH,), true, 3), ((:E_Pyruvate,), (:Estar_Lactate,), false, 4), ((:E_Pyruvate, :Lactate), (:E_Lactate_Pyruvate,), true, 5), ((:Estar, :Lactate), (:Estar_Lactate,), true, 5), ((:Estar, :NADH), (:Estar_NADH,), true, 3), ((:Estar_Lactate, :Pyruvate), (:Estar_Lactate_Pyruvate,), true, 2), ((:Estar_NADH,), (:E_NAD,), true, 6), ((:Estar_NADH, :NAD), (:Estar_NAD_NADH,), true, 1))}","(; K1, K2, K3, k4f, K5, K9, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k4r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * (1 / K3) * k4f * (1 / (1 / K5)) * K9
v = E_total * (k4f * Pyruvate / K2 - K3 * k4r * Lactate * NAD / (K1 * K5 * K9 * NADH)) / (1 + Pyruvate / K2 + Lactate * Pyruvate / (K2 * K5) + (NAD / K1) * (K3 / (K9 * NADH) + 1 + K3 * Lactate / (K5 * K9 * NADH) + 1 / K9 + NAD / (K1 * K9) + K3 * Lactate * Pyruvate / (K2 * K5 * K9 * NADH) + NADH / K3))",3647bfbf99dddfa6,,5295.593944460459,,,,7.031751345523895e-5,5.8956661848354946e-5,,0.06664902910147177,,,,4.13326989395265e-7,,,,,,,,,,1.0,,
6,29.370606741863174,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :NAD), (:E_NAD,), true, 1), ((:E, :Pyruvate), (:E_Pyruvate,), true, 2), ((:E_Pyruvate,), (:Estar_Lactate,), false, 3), ((:E_Pyruvate, :Lactate), (:E_Lactate_Pyruvate,), true, 4), ((:Estar, :Lactate), (:Estar_Lactate,), true, 4), ((:Estar, :NADH), (:Estar_NADH,), true, 5), ((:Estar_Lactate, :Pyruvate), (:Estar_Lactate_Pyruvate,), true, 2), ((:Estar_NADH,), (:E_NAD,), true, 6))}","(; K1, K2, k3f, K4, K6, K8, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k3r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k3f * (1 / (1 / K4)) * (1 / K6) * K8
v = E_total * (k3f * Pyruvate / K2 - K6 * k3r * Lactate * NAD / (K1 * K4 * K8 * NADH)) / (1 + Pyruvate / K2 + Lactate * Pyruvate / (K2 * K4) + (NAD / K1) * (K6 / (K8 * NADH) + 1 + K6 * Lactate / (K4 * K8 * NADH) + 1 / K8 + K6 * Lactate * Pyruvate / (K2 * K4 * K8 * NADH)))",70929e35b869e5b8,,54.897214842205514,,,,7.03174628528021e-5,,0.06664915900771688,,5.8958849748084045e-5,,3.987252367395054e-5,,,,,,,,,1.0,,,,
6,29.374592956144035,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :NAD), (:E_NAD,), true, 1), ((:E, :Pyruvate), (:E_Pyruvate,), true, 2), ((:E_NAD, :NADH), (:E_NAD_NADH,), true, 3), ((:E_Pyruvate,), (:Estar_Lactate,), false, 4), ((:Estar, :Lactate), (:Estar_Lactate,), true, 5), ((:Estar, :NADH), (:Estar_NADH,), true, 3), ((:Estar_NADH,), (:E_NAD,), true, 6), ((:Estar_NADH, :NAD), (:Estar_NAD_NADH,), true, 1))}","(; K1, K2, K3, k4f, K5, K7, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k4r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * (1 / K3) * k4f * (1 / (1 / K5)) * K7
v = E_total * (k4f * Pyruvate / K2 - K3 * k4r * Lactate * NAD / (K1 * K5 * K7 * NADH)) / (1 + Pyruvate / K2 + (NAD / K1) * (K3 / (K7 * NADH) + 1 + K3 * Lactate / (K5 * K7 * NADH) + 1 / K7 + NAD / (K1 * K7) + NADH / K3))",c6ec90ea6966df24,,3832.111783137731,,,,7.390798069043318e-5,2.4102738056120113e-5,,0.010433789636297545,,3.7163318680666517e-7,,,,,,,,,,,,1.0,,
6,29.374592955686776,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :NAD), (:E_NAD,), true, 1), ((:E, :Pyruvate), (:E_Pyruvate,), true, 2), ((:E_Pyruvate,), (:Estar_Lactate,), false, 3), ((:Estar, :Lactate), (:Estar_Lactate,), true, 4), ((:Estar, :NADH), (:Estar_NADH,), true, 5), ((:Estar_NADH,), (:E_NAD,), true, 6))}","(; K1, K2, k3f, K4, K5, K6, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k3r = (1 / Keq) * (1 / (1 / K1)) * (1 / K2) * k3f * (1 / (1 / K4)) * (1 / K5) * K6
v = E_total * (k3f * Pyruvate / K2 - K5 * k3r * Lactate * NAD / (K1 * K4 * K6 * NADH)) / (1 + Pyruvate / K2 + (NAD / K1) * (K5 / (K6 * NADH) + 1 + K5 * Lactate / (K4 * K6 * NADH) + 1 / K6))",4761b1fc639536e0,,0.66398492709359,,,,7.390803280117967e-5,,0.0104337886597312,2.41546276823453e-5,0.002149444778281846,,,,,,,,,,,1.0,,,,
6,0.015017269433130738,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), true, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), false, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), true, 2), ((:E_Lactate, :NADH), (:E_Lactate_NADH,), true, 3), ((:E_NAD, :Pyruvate), (:E_NAD_Pyruvate,), false, 4), ((:E_NADH, :Lactate), (:E_Lactate_NADH,), true, 1), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), false, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5), ((:E_Pyruvate, :NAD), (:E_NAD_Pyruvate,), true, 2))}","(; K1, K2, K3, k4f, k4r, k10f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k10r = (1 / Keq) * (1 / (1 / K1)) * (1 / (1 / K2)) * (1 / K3) * k4f * (1 / k4r) * k10f
v = E_total * (k10f * k4f * k4r * NADH * Pyruvate / K3 + (NAD / K2) * (k10f * k4f * k4r * NADH * Pyruvate / K3 - (k10r * k4r ^ 2 * Lactate / K1 + k10r * k4r ^ 2 * Lactate * NAD / (K1 * K2)))) / ((1 + NAD / K2 + NADH / K3) * (1 + Lactate / K1) * (k10f * k4r + k4r ^ 2 + k10f * k4r * NAD / K2 + k4r ^ 2 * NAD / K2) + (1 + NAD / K2) * (k10f * k4f * Pyruvate + k4f * k4r * Pyruvate + k10f * k4f * NAD * Pyruvate / K2 + k4f * k4r * NAD * Pyruvate / K2) + 1 * (k10r * k4r * Lactate * NAD / (K1 * K2) + k4f * k4r * NADH * Pyruvate / K3 + k10r * k4r * Lactate * NAD ^ 2 / (K1 * K2 ^ 2) + k4f * k4r * NAD * NADH * Pyruvate / (K2 * K3)))",c53ccf760aaf4cb1,,0.021271506881321327,,,,0.000944289966926301,7.270140176749758e-6,,,,,,,,1.0,,,,,,,,12287.258673995897,0.45561030127309643,
6,0.019380254558293602,"EnzymeMechanism{((:NADH, :Pyruvate), (:Lactate, :NAD), ()), (((:E, :Lactate), (:E_Lactate,), true, 1), ((:E, :NAD), (:E_NAD,), false, 2), ((:E, :NADH), (:E_NADH,), true, 3), ((:E, :Pyruvate), (:E_Pyruvate,), true, 4), ((:E_Lactate, :NAD), (:E_Lactate_NAD,), false, 2), ((:E_Lactate, :NADH), (:E_Lactate_NADH,), true, 3), ((:E_NAD, :Pyruvate), (:E_NAD_Pyruvate,), true, 4), ((:E_NADH, :Lactate), (:E_Lactate_NADH,), true, 1), ((:E_NADH, :Pyruvate), (:E_NADH_Pyruvate,), true, 4), ((:E_NADH_Pyruvate,), (:E_Lactate_NAD,), false, 5), ((:E_Pyruvate, :NAD), (:E_NAD_Pyruvate,), false, 2))}","(; K1, k2f, k2r, K3, K4, k10f, Keq, E_total) = params
(; NADH, Pyruvate, Lactate, NAD) = concs
k10r = (1 / Keq) * (1 / (1 / K1)) * (1 / k2f) * k2r * (1 / K3) * (1 / K4) * k10f
v = E_total * (-k10r * k2f * k2r * Lactate * NAD / K1 + (Pyruvate / K4) * (k10f * k2r ^ 2 * NADH / K3 + k10f * k2r ^ 2 * NADH * Pyruvate / (K3 * K4) - k10r * k2f * k2r * Lactate * NAD / K1)) / ((1 + Lactate / K1 + Pyruvate / K4) * (1 + NADH / K3) * (k10r * k2r + k2r ^ 2 + k10r * k2r * Pyruvate / K4 + k2r ^ 2 * Pyruvate / K4) + (1 + Pyruvate / K4) * (k10r * k2f * NAD + k2f * k2r * NAD + k10r * k2f * NAD * Pyruvate / K4 + k2f * k2r * NAD * Pyruvate / K4) + 1 * (k2f * k2r * Lactate * NAD / K1 + k10f * k2r * NADH * Pyruvate / (K3 * K4) + k2f * k2r * Lactate * NAD * Pyruvate / (K1 * K4) + k10f * k2r * NADH * Pyruvate ^ 2 / (K3 * K4 ^ 2)))",7945f757826f8826,,0.014481354345019164,,,,,1.2527603684275551e-5,5.609676286957253e-5,,,,,,,1.0000000004552962,,,,5.051573118078499e12,3.978750651150764e9,,,,,
